EU-001;SV5;Dodecanese (Dodekanisos)
NA-207;VY0;Nunavut (Hudson Bay - ONT Coast) South grp
NA-208;VY0;Nunavut (Kitikmeot Region) East group
NA-209;YN;Caribbean Sea Coast South group
NA-210;KL;Nome County Centre group
NA-211;W7;Oregon State group
NA-212;YN;Pacific Ocean Coast group
NA-213;W4;Alabama State group
NA-214;KL;Nome County South group
NA-215;KL;Northwest Arctic County group
NA-216;KL;Northern Alaska Peninsula West group
NA-217;W1;New Hampshire Group
NA-218;CO8;Las Tunas/Holguin/Santiago de Cuba Province Group
NA-219;C6A;Bahamas Cay Sal Banks
NA-220;OX;Greenland's Coastal Islands South West
NA-221;XE1;Veracruz State North Group
NA-160;HR;Cortes/Atlantida/Colon Department group
NA-161;KL;Skagway-Yakutat County group
NA-162;XE2;Baja California State North West group
NA-163;XE2;Baja California State East group
NA-164;XE2;Baja California Sur State North West group
NA-165;XE2;Baja California Sur State North East group
NA-166;XE2;Sonora State South group
NA-167;XE2;Sonora State North group
NA-168;W5;LA State South East group
NA-169;W7;WA State West group
NA-170;HP;San Blas Province group
NA-171;XE2;Sinaloa State group
NA-172;KL;North Slope County North group
NA-173;VY0;Nunavut (Hudson Bay - QC Coast) South grp
NA-174;VY0;Nunavut (Foxe Basin) group
NA-175;VY0;Nunavut (Kitikmeot Region) West Centre grp
NA-176;VE2;QC Province (St Lawrence Gulf) Centre grp
NA-177;VE2;QC Province (Gaspe Peninsula) group
NA-178;W6;CA State Centre (Sonoma to Santa Cruz) grp
NA-179;XE2;Guadalupe Island
NA-180;V3;Stann Creek/Toledo District group
NA-181;VE7;BC Province (Estevan Group)
NA-182;VE8;NWT (Inuvik Region) East group
NA-183;XE3;Guerrero State group
NA-184;W6;CA State North group
NA-185;VY0;Nunavut (Keewatin Region) group
NA-186;VY0;Nunavut (Hudson Bay - Manitoba Coast) grp
NA-187;W6;CA State Centre (Monterey etc) group
NA-188;XE3;Oaxaca State group
NA-189;XE1;Nayarit/Jalisco State group
NA-190;YS;El Salvador group
NA-191;TI7;Guanacaste Province group
NA-192;VE8;NWT (Inuvik Region) West group
NA-193;VY1;Yukon Territory group
NA-194;VO2;NFLD Province (Labrador) North group
NA-195;VY0;Nunavut (Hudson Bay - QC Coast) Centre grp
NA-196;VY0;Nunavut (Belcher Islands) group
NA-197;KL;Kenai Peninsula County group
NA-198;VO1;Newfoundland's Coastal Islands
NA-199;FS;St Martin's Coastal Islands
NA-200;XE3;Quintana Roo State South group
NA-201;CO7;Ciego De Avila/Camaguey Province South grp
NA-202;HP;Colon/Veraguas North Province group
NA-203;HP;Los Santos/Herrera/Cocle Province group
NA-204;CO5,6;Matanzas to Sancti Spiritus Province group
NA-205;VO2;NFLD Province (Labrador) Centre group
NA-206;KL;Barren Islands
NA-207;VY0;Nunavut (Hudson Bay - ONT Coast) South grp
NA-208;VY0;Nunavut (Kitikmeot Region) East group
NA-209;YN;Caribbean Sea Coast South group
NA-210;KL;Nome County Centre group
NA-211;W7;Oregon State group
NA-212;YN;Pacific Ocean Coast group
NA-213;W4;Alabama State group
NA-214;KL;Nome County South group
NA-215;KL;Northwest Arctic County group
NA-216;KL;Northern Alaska Peninsula West group
NA-217;W1;New Hampshire Group
NA-218;CO8;Las Tunas/Holguin/Santiago de Cuba Province Group
NA-219;C6A;Bahamas Cay Sal Banks
NA-220;OX;Greenland's Coastal Islands South West
NA-221;XE1;Veracruz State North Group
NA-222;KL;Southern Alaska Peninsula West Group (Alaska)
NA-223;HR;Gracias a Dios Departmant group (Honduras)
NA-224;XE1;Veracruz State South group (Mexico)
SA-001;CE0;Easter Island
SA-002;VP8;Falkland Islands
SA-003;PY0F;Fernando De Noronha Archipelago
SA-004;HC8;Galapagos Islands
SA-005;CE0;Juan Fernandez Archipelago
SA-006;PJ1,2,4,9;Bonaire & Curacao Islands
SA-007;HK0;Malpelo Island
SA-008;LU,CE8;Tierra Del Fuego
SA-009;9Y;Tobago Island
SA-010;PY0T;Trindade & Martin Vaz Islands
SA-011;9Y;Trinidad Island
SA-012;YV7;Nueva Esparta State group
SA-013;CE0;San Felix & San Ambrosio Islands
SA-014;PY0S;St Peter & St Paul Rocks
SA-015;YV5;Los Monjes Archipelago
SA-016;PR8;Maranhao State Centre group
SA-017;HK5;Cauca/Valle Division group
SA-018;CE7;Los Lagos Province South group
SA-019;PY6;Abrolhos Archipelago
SA-020;FY;French Guiana group
SA-021;LU;Buenos Aires (Bahia Blanca) Province group
SA-022;LU;Buenos Aires (Bahia Anegada) Province group
SA-023;PY6;Bahia State North group
SA-024;PY2;Sao Paulo State West group
SA-025;PS8;Piaui State group
SA-026;PP5;Santa Catarina State Centre group
SA-027;PP5;Santa Catarina State North group
SA-028;PY2;Sao Paulo State East group
SA-029;PY1;Rio De Janeiro State West group
SA-030;CX;San Jose/Montevideo/Canelones Department
SA-031;CE8;Wollaston Islands
SA-032;CE8;Magallanes & Antartica Chilena Prov North
SA-033;HC4;Manabi Province group
SA-034;HC2,3;Guayas/El Oro Province group
SA-035;YV5;Los Roques Islands
SA-036;P4;Aruba Island
SA-037;YV5;Blanquilla group
SA-038;PY0R;Atol Das Rocas
SA-039;CX;Maldonado/Rocha Department group
SA-040;HK1;Bolivar/Atlantico Division group
SA-041;PR8;Maranhao State West group
SA-042;PY8;Para State West group
SA-043;CE7;Aisen Province North group
SA-044;YV5;La Tortuga Island
SA-045;PQ8;Amapa State group
SA-046;PY7;Pernambuco State group
SA-047;PY5;Parana State group
SA-048;YV7;Sucre State East group
SA-049;LU;Tierra Del Fuego's Coastal Islands
SA-050;CE8,9;Tierra Del Fuego's Coastal Islands
SA-051;YV5;Las Aves Islands
SA-052;OA4;Lima Department group
SA-053;CE7;Aisen Province South group
SA-054;YV5;Orchila Island
SA-055;LU;Buenos Aires (Delta Del Parana) Province
SA-056;HC4;Esmeraldas Province group
SA-057;CX;Colonia Department group
SA-058;YV4,5;Carabobo/Aragua/DF/Miranda State group
SA-059;YV5;Los Testigos group
SA-060;PY8;Para State East group
SA-061;CE6;La Araucania Prov/Los Lagos Prov North grp
SA-062;PY6;Bahia State South group
SA-063;YV8;Monagas/Delta Amacuro State group
SA-064;CE7;Aisen Province Centre group
SA-065;LU;Chubut Province South group
SA-066;YV1;Zulia State group
SA-067;PP1;Espirito Santo State group
SA-068;8R;Guyana group
SA-069;CE1;Antofagasta Province group
SA-070;CE5;Bio-Bio Province group
SA-071;PY2;Sao Paulo State Centre group
SA-072;PR8;Maranhao State East group
SA-073;OA5;Ica Department group
SA-074;OA3;Ancash Department group
SA-075;OA2;La Libertad Department group
SA-076;OA1;Tumbes/Piura/Lambayeque Department group
SA-077;PY1;Rio De Janeiro State East group
SA-078;HK1;Cordoba/Sucre Division group
SA-079;PY1;Rio De Janeiro State Centre group
SA-080;PY6;Bahia State Centre group
SA-081;HK8;Narino Division group
SA-082;HK2;Magdalena/Guajira Division group
SA-083;CE0;Salas y Gomez Island
SA-084;HK4;Choco Division South group
SA-085;CE1;Atacama Province group
SA-086;CE2;Coquimbo/Valparaiso Province group
SA-087;LU;Santa Cruz Province North group
SA-088;PY;Santa Catarina State South group
SA-089;YV1;Falcon State group 
SA-090;YV5-7;Anzoategui State / Sucre State West group
SA-091;CE8;Magallanes Province group (Chile)
SA-092;PZ;Suriname Group (Suriname)
SA-093;HK4;Choco Division North /Antioquia group (Columbia)
OC-001;VK;Australia (Main Island Only)
OC-002;VK9;Christmas Island
OC-003;VK9;Cocos (Keeling) Islands
OC-004;VK9;Lord Howe Island
OC-005;VK9;Norfolk Island
OC-006;VK7;Tasmania (Main Island Only)
OC-007;VK9;Willis Islands
OC-008;P2;Bismarck Archipelago
OC-009;T8;Palau Islands
OC-010;V63;Pohnpei Islands
OC-011;V63;Chuuk Islands
OC-012;V63;Yap Islands
OC-013;ZK1;Rarotonga Island
OC-014;ZK1;Manihiki Atoll
OC-015;T2;Tuvalu Islands
OC-016;3D2;Viti Levu & Vanua Levu Group
OC-017;T30;Gilbert Islands
OC-018;T30;Banaba (Ocean) Island
OC-019;KH6,7;Hawaiian Islands
OC-020;KH7K;Kure Atoll
OC-021;YB0-3;Java (Jawa) Island (Main Island Only)
OC-022;YB9;Bali Island
OC-023;KH3;Johnston Atoll
OC-024;T32;Kiritimati (Christmas) Island
OC-025;P2;Admiralty Islands
OC-026;KH2;Guam Island
OC-027;FO;Marquesas Islands
OC-028;V73;Ralik Chain
OC-029;V73;Ratak Chain
OC-030;KH4;Midway Islands
OC-031;C2;Nauru
OC-032;FK;New Caledonia Island
OC-033;FK;Loyalty Islands
OC-034;P2,YB9;New Guinea (Main Island Only)
OC-035;YJ;New Hebrides
OC-036;ZL1,2;North Island (Main Island Only)
OC-037;ZL9;Campbell Island
OC-038;ZL7;Chatham Islands
OC-039;ZL8;Kermadec Islands
OC-040;ZK2;Niue Island
OC-041;P2;Ninigo Group
OC-042;DU1-4;Luzon Island (Main Island Only)
OC-043;T31;Phoenix Islands
OC-044;VP6;Pitcairn Island
OC-045;KH8;Tutuila Island
OC-046;FO;Windward Islands
OC-047;H4;Solomon Islands
OC-048;ZK3;Tokelau Islands
OC-049;A3;Tongatapu Group
OC-050;FO;Rurutu & Rimatara Islands
OC-051;FO;Rapa & Marotiri Islands
OC-052;FO;Duke of Gloucester Islands
OC-053;KH9;Wake Island
OC-054;FW;Wallis Islands
OC-055;KH6,7;French Frigate Shoals
OC-056;VP6;Henderson Island
OC-057;FO;Maupihaa group
OC-058;FK;D'Entrecasteaux Reefs
OC-059;V63;Kosrae (Kusaie) Island
OC-060;3D2;Rotuma Island
OC-061;various;Minerva Reefs
OC-062;FO;Pukapuka Atoll
OC-063;FO;Gambier Islands
OC-064;A3;Vava'u Group
OC-065;H4;Reef (Swallow) Islands
OC-066;FO;Tuamotu Archipelago
OC-067;FO;Leeward Islands
OC-068;ZL;Snares Islands
OC-069;P2;Lihir Group
OC-070;YB8;Seram group
OC-071;VK6;WA State (N Coast) West group
OC-072;VK9;Mellish Reef
OC-073;JD;Minami Torishima (Marcus Island)
OC-074;ZL9;Auckland Islands
OC-075;YB5;Riau Islands
OC-076;YB8;Sula Islands
OC-077;KH8;Manua Islands
OC-078;V63;Ulithi Atoll
OC-079;FK;Belep Islands
OC-080;ZK1;Suwarrow Atoll (Suvorov)
OC-081;KH5;Jarvis Island
OC-082;ZK1;Penrhyn Atoll (Tongareva)
OC-083;ZK1;Aitutaki group
OC-084;T32;Tabuaeran & Teraina Islands
OC-085;KH5;Palmyra Atoll
OC-086;KH0;Northern Mariana Islands
OC-087;V73;Enewetak (Eniwetok) Atoll
OC-088;9M,V8,YB7;Borneo (Main Island Only)
OC-089;KH1;Baker & Howland Islands
OC-090;DU1;Calamian Group
OC-091;DU1;Polillo Islands
OC-092;DU2;Babuyan Islands
OC-093;DU2;Batan Islands
OC-094;FO;Disappointment Islands
OC-095;3D2;Lau Group
OC-096;KH5K;Kingman Reef
OC-097;5W;Samoa Islands
OC-098;ZK1;Pukapuka Atoll (Danger Islands)
OC-099;P2;Tabar Islands
OC-100;H4;Nendo Island
OC-101;P2;Feni Islands
OC-102;P2;Tanga Islands
OC-103;P2;St Matthias Group
OC-104;YJ;Banks Islands
OC-105;DU8;Cagayan De Sulu group
OC-106;YB5;Natuna Besar Islands
OC-107;YB5;Lingga Islands
OC-108;YB5;Anambas Islands
OC-109;YB5;Natuna Selatan Islands
OC-110;YJ;Torres Islands
OC-111;YJ;Shepherd Islands
OC-112;3D2;Conway Reef (Ceva-I-Ra)
OC-113;FO;Actaeon Group
OC-114;FO;Raivavae Island
OC-115;P2;Trobriand Islands
OC-116;P2;D'Entrecasteaux Islands
OC-117;P2;Louisiade Archipelago
OC-118;FW;Hoorn Islands
OC-119;DU8;Jolo Group
OC-120;DU1;Cuyo Islands
OC-121;3D2;Mamanuca (Mamanutha) Group
OC-122;YB5;Tambelan Islands
OC-123;A3;Niuafo'ou Island
OC-124;ZK1;Palmerston Atoll
OC-125;DU6;Semirara Islands
OC-126;DU1;Lubang Islands
OC-127;H4;Rennell Island
OC-128;DU1;Palawan Island
OC-129;DU5-7;Visayan Islands
OC-130;DU8,9;Mindanao Island (Main Island Only)
OC-131;FO;King George Islands
OC-132;V63;East Yap group
OC-133;9M6;Sabah's Coastal Islands
OC-134;ZL3,4;South Island (Main Island Only)
OC-135;P2;Solomon Islands
OC-136;VK3;VIC State Centre group
OC-137;VK4;QLD State (S Coast) South group
OC-138;VK4;QLD State (Torres Strait) group
OC-139;VK5;SA State East Centre group
OC-140;VK6;WA State (NW Coast) West group
OC-141;VK8;NT (Gulf of Carpentaria) North group
OC-142;VK4;QLD State (S Coast) Centre group
OC-143;YB4-6;Sumatra Island (Main Island Only)
OC-144;YB4;Bangka & Belitung Islands
OC-145;YB8;Halmahera group
OC-146;YB8;Celebes Island (Main Island Only)
OC-147;YB9;Irian Jaya's Coastal Islands North
OC-148;YB9,4W;Timor Island (Main Island Only)
OC-149;H4;New Georgia Islands
OC-150;YB9;Tenggara Barat Islands
OC-151;YB9;Tenggara Timur Islands
OC-152;FO;Tubuai Island
OC-153;P2;PNG's Coastal Islands South
OC-154;VK6;WA State (N Coast) East group
OC-155;V63;West Chuuk group
OC-156;3D2;Yasawa Group
OC-157;YB8;Banda Islands
OC-158;H4;Florida Islands
OC-159;ZK1;Mangaia Island
OC-160;VK4;QLD State (S Coast) North group
OC-161;YB6;Nias & Batu Islands
OC-162;H4;Shortland Islands
OC-163;H4;Vanikolo & Utupua Islands
OC-164;VK6;WA State (SW Coast) South group
OC-165;9M8;Sarawak's Coastal Islands
OC-166;YB7;Kalimantan's Coastal Islands East
OC-167;V63;Kapingamarangi Atoll
OC-168;H4;Russell Islands
OC-169;A3;Ha'apai Group
OC-170;VK6;WA State (S Coast) East Centre group
OC-171;VK4;QLD State (N Coast) South group
OC-172;VK4;QLD State (N Coast) Centre group
OC-173;VK8;NT (Arafura Sea Coast) West group
OC-174;DU8;Tawi Tawi Group
OC-175;DU9;Sarangani Islands
OC-176;FK;Chesterfield Islands
OC-177;YB0;Seribu Islands
OC-178;H4;Tikopia & Anuta Islands
OC-179;H4;Duff Islands
OC-180;V63;Ngulu Atoll
OC-181;P2;Witu Islands
OC-182;VP6;Ducie Island
OC-183;VK6;WA State (SW Coast) Centre group
OC-184;V85;Brunei's Coastal Islands
OC-185;VK8;NT (Arafura Sea Coast) East group
OC-186;YB2;Karimunjawa Islands
OC-187;VK4;QLD State (N Coast) North group
OC-188;DU8;Pangutaran Group
OC-189;3D2;Ringgold Isles
OC-190;KH8;Rose Atoll
OC-191;A3;Niuatoputapu Island
OC-192;H4;Ontong Java Atoll
OC-193;VK6;WA State (S Coast) West Centre group
OC-194;VK2;NSW State North group
OC-195;VK7;Furneaux Group
OC-196;VK3;VIC State East group
OC-197;YB3;Bawean Island
OC-198;VK8;NT (Gulf of Carpentaria) South group
OC-199;VK6;WA State (NW Coast) Centre group
OC-200;KH8;Swains Island
OC-201;ZL1,2;North Island's Coastal Islands
OC-202;DU4;Calagua Islands
OC-203;ZL3,4;South Island's Coastal Islands
OC-204;YB4;Enggano Island
OC-205;P2;Woodlark group
OC-206;VK6;WA State (SW Coast) North group
OC-207;DU1;Cagayan Islands
OC-208;YB8;Banggai Islands
OC-209;YB8;Talaud Islands
OC-210;YB8;Sangihe Islands
OC-211;VK6;Houtman Abrolhos
OC-212;VK2;NSW State Centre group
OC-213;YB8;Togian Islands
OC-214;VK6;WA State (NW Coast) East group
OC-215;YB5;Mentawai Islands
OC-216;VK9;Ashmore & Cartier Islands
OC-217;YB3;Kangean Islands
OC-218;FK;Matthew & Hunter Islands
OC-219;YB8;Tukangbesi Islands
OC-220;VK5;SA State West group
OC-221;YB8;Kai Islands
OC-222;YB8;Obi Islands
OC-223;VK2;NSW State South group
OC-224;YB8;Tanimbar Islands
OC-225;DU8;Turtle Islands
OC-226;V63;Mwokil & Pingelap Atolls
OC-227;VK4;QLD State (Gulf of Carpentaria) South grp
OC-228;VK5;SA State East group
OC-229;VK8;NT (Arafura Sea Coast) Centre group
OC-230;VK;Rowley Shoals
OC-231;P2;Green Islands
OC-232;4W;East Timor's Coastal Islands
OC-233;VK7;Tasmania's Coastal Islands
OC-234;VK6;Browse Island - Western Australia Outliers
OC-235;DU9;Mindanao's Coastal Islands
OC-236;YB8;Celebes's Coastal Islands
OC-237;YB0-3;Java's Coastal Islands
OC-238;FO;Pukarua & Reao Atolls
OC-239;YB9;Irian Jaya's Costal Islands West
OC-240;P29;P.N.G's Coastal Islands East
OC-241;YB9;Timor Barat's Coastal Islands
OC-242;YB8;Bonerate and Take' Bonerate Islands
OC-243;VK6;Western Australia State South Coast West
OC-244;DU 1-4;Luzon's Coastal Islands (Philippines)
OC-245;YB5-6;Sumatras Coastal Islands North
OC-246;YB8;Leti and Sermata Islands
OC-247;YB8;Sabalana and Tengah Islands
OC-248;T8;South Palau group (Palau)
OC-249;YB8;Aru Islands (Indonesia)
OC-250;YB3;Masalembu Islands (Indonesia)
OC-251;VK3;Victoria State West group (Australia)
OC-252;YB7;Kalimantan's Coastal Islands west (Indonesia)
OC-253;V63;Hall Islands (Federated State of Micronesia)
OC-254;V63;Mortlock Islands (Federated State of Micronesia)
OC-255;VK4;Queensland State (Gulf of Carpentaria) North Group
OC-256;P2;Kilinailau (Tulun) Islands (Papua New Guinea)
OC-257;P2;Nuguria Islands (Papua New Guinea)
OC-258;P2;Papua New Guinea's Coastal Islands North
OC-259;V63;Nukuoro Atoll (Federated States of Micronesia)
